trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD92,14:06:00,14:06:00,GM_P2,1
WD93,14:12:00,14:12:00,GM_P1,1
WD94,14:18:00,14:18:00,GM_P2,1
WD95,14:24:00,14:24:00,GM_P1,1
WD96,14:30:00,14:30:00,GM_P2,1
WD97,14:36:00,14:36:00,GM_P1,1
WD98,14:42:00,14:42:00,GM_P2,1
WD99,14:48:00,14:48:00,GM_P1,1
WD100,14:54:00,14:54:00,GM_P2,1
WD101,15:00:00,15:00:00,GM_P1,1
WD102,15:06:00,15:06:00,GM_P2,1
WD103,15:12:00,15:12:00,GM_P1,1
WD104,15:18:00,15:18:00,GM_P2,1
WD105,15:24:00,15:24:00,GM_P1,1
WD106,15:30:00,15:30:00,GM_P2,1
WD107,15:36:00,15:36:00,GM_P1,1
WD108,15:42:00,15:42:00,GM_P2,1
WD109,15:48:00,15:48:00,GM_P1,1
WD110,15:54:00,15:54:00,GM_P2,1
WD111,16:00:00,16:00:00,GM_P1,1
WD112,16:06:00,16:06:00,GM_P2,1
WD113,16:12:00,16:12:00,GM_P1,1
WD114,16:18:00,16:18:00,GM_P2,1
WD115,16:24:00,16:24:00,GM_P1,1
WD116,16:30:00,16:30:00,GM_P2,1
WD117,16:36:00,16:36:00,GM_P1,1
WD118,16:42:00,16:42:00,GM_P2,1
WD119,16:48:00,16:48:00,GM_P1,1
WD120,16:54:00,16:54:00,GM_P2,1
WD121,17:00:00,17:00:00,GM_P1,1
WD122,17:06:00,17:06:00,GM_P2,1
WD123,17:12:00,17:12:00,GM_P1,1
WD124,17:18:00,17:18:00,GM_P2,1
WD125,17:24:00,17:24:00,GM_P1,1
WD126,17:30:00,17:30:00,GM_P2,1
WD127,17:36:00,17:36:00,GM_P1,1
WD128,17:42:00,17:42:00,GM_P2,1
WD129,17:48:00,17:48:00,GM_P1,1
WD130,17:54:00,17:54:00,GM_P2,1
WD131,18:00:00,18:00:00,GM_P1,1
WD132,18:06:00,18:06:00,GM_P2,1
WD133,18:12:00,18:12:00,GM_P1,1
WD134,18:18:00,18:18:00,GM_P2,1
WD135,18:24:00,18:24:00,GM_P1,1
WD136,18:30:00,18:30:00,GM_P2,1
WD137,18:36:00,18:36:00,GM_P1,1
WD138,18:42:00,18:42:00,GM_P2,1
WD139,18:48:00,18:48:00,GM_P1,1
WD140,18:54:00,18:54:00,GM_P2,1
WD141,19:00:00,19:00:00,GM_P1,1
WD142,19:06:00,19:06:00,GM_P2,1
WD143,19:12:00,19:12:00,GM_P1,1
WD144,19:18:00,19:18:00,GM_P2,1
WD145,19:24:00,19:24:00,GM_P1,1
WD146,19:30:00,19:30:00,GM_P2,1
WD147,19:36:00,19:36:00,GM_P1,1
WD148,19:42:00,19:42:00,GM_P2,1
WD149,19:48:00,19:48:00,GM_P1,1
WD150,19:54:00,19:54:00,GM_P2,1
WD151,20:00:00,20:00:00,GM_P1,1
WD152,20:06:00,20:06:00,GM_P2,1
WD153,20:12:00,20:12:00,GM_P1,1
WD154,20:18:00,20:18:00,GM_P2,1
WD155,20:24:00,20:24:00,GM_P1,1
WD156,20:30:00,20:30:00,GM_P2,1
WD157,20:36:00,20:36:00,GM_P1,1
WD158,20:42:00,20:42:00,GM_P2,1
WD159,20:48:00,20:48:00,GM_P1,1
WD160,20:54:00,20:54:00,GM_P2,1
WD161,21:00:00,21:00:00,GM_P1,1
WD162,21:06:00,21:06:00,GM_P2,1
WD163,21:12:00,21:12:00,GM_P1,1
WD164,21:18:00,21:18:00,GM_P2,1
WD165,21:24:00,21:24:00,GM_P1,1
WD166,21:30:00,21:30:00,GM_P2,1
WD167,21:36:00,21:36:00,GM_P1,1
WD168,21:42:00,21:42:00,GM_P2,1
WD169,21:48:00,21:48:00,GM_P1,1
WD170,21:54:00,21:54:00,GM_P2,1
WD171,22:00:00,22:00:00,GM_P1,1
WD172,22:06:00,22:06:00,GM_P2,1
WD173,22:12:00,22:12:00,GM_P1,1
WD174,22:18:00,22:18:00,GM_P2,1
WD175,22:24:00,22:24:00,GM_P1,1
WD176,22:30:00,22:30:00,GM_P2,1
WD177,22:36:00,22:36:00,GM_P1,1
WD178,22:42:00,22:42:00,GM_P2,1
WD179,22:48:00,22:48:00,GM_P1,1
WD180,22:54:00,22:54:00,GM_P2,1
WD181,23:00:00,23:00:00,GM_P1,1
WD182,23:06:00,23:06:00,GM_P2,1
WD183,23:12:00,23:12:00,GM_P1,1
WD184,23:18:00,23:18:00,GM_P2,1
WD185,23:24:00,23:24:00,GM_P1,1
WD186,23:30:00,23:30:00,GM_P2,1
WD187,23:36:00,23:36:00,GM_P1,1
WD188,23:42:00,23:42:00,GM_P2,1
WD189,23:48:00,23:48:00,GM_P1,1
WD190,23:54:00,23:54:00,GM_P2,1
WD191,24:00:00,24:00:00,GM_P1,1
WD192,24:06:00,24:06:00,GM_P2,1
WD193,24:12:00,24:12:00,GM_P1,1
WD194,24:18:00,24:18:00,GM_P2,1
WD195,24:24:00,24:24:00,GM_P1,1
WD196,24:30:00,24:30:00,GM_P2,1
WD197,24:36:00,24:36:00,GM_P1,1
WD198,24:42:00,24:42:00,GM_P2,1
WD199,24:48:00,24:48:00,GM_P1,1
WD200,24:54:00,24:54:00,GM_P2,1
WD201,25:00:00,25:00:00,GM_P1,1
WD202,25:06:00,25:06:00,GM_P2,1
WD203,25:12:00,25:12:00,GM_P1,1
WD204,25:18:00,25:18:00,GM_P2,1
WD205,25:24:00,25:24:00,GM_P1,1
WD206,25:30:00,25:30:00,GM_P2,1
SAT1,06:00:00,06:00:00,GM_P1,1
SAT2,06:12:00,06:12:00,GM_P2,1
SAT3,06:24:00,06:24:00,GM_P1,1
SAT4,06:36:00,06:36:00,GM_P2,1
SAT5,06:48:00,06:48:00,GM_P1,1
SAT6,07:00:00,07:00:00,GM_P2,1
SAT7,07:12:00,07:12:00,GM_P1,1
SAT8,07:24:00,07:24:00,GM_P2,1
SAT9,07:36:00,07:36:00,GM_P1,1
SAT10,07:48:00,07:48:00,GM_P2,1
SAT11,08:00:00,08:00:00,GM_P1,1
SAT12,08:12:00,08:12:00,GM_P2,1
SAT13,08:24:00,08:24:00,GM_P1,1
SAT14,08:36:00,08:36:00,GM_P2,1
SAT15,08:48:00,08:48:00,GM_P1,1
SAT16,09:00:00,09:00:00,GM_P2,1
SAT17,09:12:00,09:12:00,GM_P1,1
SAT18,09:24:00,09:24:00,GM_P2,1
SAT19,09:36:00,09:36:00,GM_P1,1
SAT20,09:48:00,09:48:00,GM_P2,1
SAT21,10:00:00,10:00:00,GM_P1,1
SAT22,10:12:00,10:12:00,GM_P2,1
SAT23,10:24:00,10:24:00,GM_P1,1
SAT24,10:36:00,10:36:00,GM_P2,1
SAT25,10:48:00,10:48:00,GM_P1,1
SAT26,11:00:00,11:00:00,GM_P2,1
SAT27,11:12:00,11:12:00,GM_P1,1
SAT28,11:24:00,11:24:00,GM_P2,1
SAT29,11:36:00,11:36:00,GM_P1,1
SAT30,11:48:00,11:48:00,GM_P2,1
SAT31,12:00:00,12:00:00,GM_P1,1
SAT32,12:12:00,12:12:00,GM_P2,1
SAT33,12:24:00,12:24:00,GM_P1,1
SAT34,12:36:00,12:36:00,GM_P2,1
SAT35,12:48:00,12:48:00,GM_P1,1
SAT36,13:00:00,13:00:00,GM_P2,1
SAT37,13:12:00,13:12:00,GM_P1,1
SAT38,13:24:00,13:24:00,GM_P2,1
SAT39,13:36:00,13:36:00,GM_P1,1
SAT40,13:48:00,13:48:00,GM_P2,1
SAT41,14:00:00,14:00:00,GM_P1,1
SAT42,14:12:00,14:12:00,GM_P2,1
SAT43,14:24:00,14:24:00,GM_P1,1
SAT44,14:36:00,14:36:00,GM_P2,1
SAT45,14:48:00,14:48:00,GM_P1,1
SAT46,15:00:00,15:00:00,GM_P2,1
SAT47,15:12:00,15:12:00,GM_P1,1
SAT48,15:24:00,15:24:00,GM_P2,1
SAT49,15:36:00,15:36:00,GM_P1,1
SAT50,15:48:00,15:48:00,GM_P2,1
SAT51,16:00:00,16:00:00,GM_P1,1
SAT52,16:12:00,16:12:00,GM_P2,1
SAT53,16:24:00,16:24:00,GM_P1,1
SAT54,16:36:00,16:36:00,GM_P2,1
SAT55,16:48:00,16:48:00,GM_P1,1
SAT56,17:00:00,17:00:00,GM_P2,1
SAT57,17:12:00,17:12:00,GM_P1,1
SAT58,17:24:00,17:24:00,GM_P2,1
SAT59,17:36:00,17:36:00,GM_P1,1
SAT60,17:48:00,17:48:00,GM_P2,1
SAT61,18:00:00,18:00:00,GM_P1,1
SAT62,18:12:00,18:12:00,GM_P2,1
SAT63,18:24:00,18:24:00,GM_P1,1
SAT64,18:36:00,18:36:00,GM_P2,1
SAT65,18:48:00,18:48:00,GM_P1,1
SAT66,19:00:00,19:00:00,GM_P2,1
SAT67,19:12:00,19:12:00,GM_P1,1
SAT68,19:24:00,19:24:00,GM_P2,1
SAT69,19:36:00,19:36:00,GM_P1,1
SAT70,19:48:00,19:48:00,GM_P2,1
SAT71,20:00:00,20:00:00,GM_P1,1
SAT72,20:12:00,20:12:00,GM_P2,1
SAT73,20:24:00,20:24:00,GM_P1,1
SAT74,20:36:00,20:36:00,GM_P2,1
SAT75,20:48:00,20:48:00,GM_P1,1
SAT76,21:00:00,21:00:00,GM_P2,1
SAT77,21:12:00,21:12:00,GM_P1,1
SAT78,21:24:00,21:24:00,GM_P2,1
SAT79,21:36:00,21:36:00,GM_P1,1
SAT80,21:48:00,21:48:00,GM_P2,1
SAT81,22:00:00,22:00:00,GM_P1,1
SAT82,22:12:00,22:12:00,GM_P2,1
SAT83,22:24:00,22:24:00,GM_P1,1
SAT84,22:36:00,22:36:00,GM_P2,1
SAT85,22:48:00,22:48:00,GM_P1,1
SAT86,23:00:00,23:00:00,GM_P2,1
SAT87,23:12:00,23:12:00,GM_P1,1
SAT88,23:24:00,23:24:00,GM_P2,1
SAT89,23:36:00,23:36:00,GM_P1,1
SAT90,23:48:00,23:48:00,GM_P2,1
SAT91,24:00:00,24:00:00,GM_P1,1
SAT92,24:12:00,24:12:00,GM_P2,1
SAT93,24:24:00,24:24:00,GM_P1,1
SUN1,07:00:00,07:00:00,GM_P1,1
SUN2,07:15:00,07:15:00,GM_P2,1
SUN3,07:30:00,07:30:00,GM_P1,1
SUN4,07:45:00,07:45:00,GM_P2,1
SUN5,08:00:00,08:00:00,GM_P1,1
SUN6,08:15:00,08:15:00,GM_P2,1
SUN7,08:30:00,08:30:00,GM_P1,1
SUN8,08:45:00,08:45:00,GM_P2,1
SUN9,09:00:00,09:00:00,GM_P1,1
SUN10,09:15:00,09:15:00,GM_P2,1
SUN11,09:30:00,09:30:00,GM_P1,1
SUN12,09:45:00,09:45:00,GM_P2,1
SUN13,10:00:00,10:00:00,GM_P1,1
SUN14,10:15:00,10:15:00,GM_P2,1
SUN15,10:30:00,10:30:00,GM_P1,1
SUN16,10:45:00,10:45:00,GM_P2,1
SUN17,11:00:00,11:00:00,GM_P1,1
SUN18,11:15:00,11:15:00,GM_P2,1
SUN19,11:30:00,11:30:00,GM_P1,1
SUN20,11:45:00,11:45:00,GM_P2,1
SUN21,12:00:00,12:00:00,GM_P1,1
SUN22,12:15:00,12:15:00,GM_P2,1
SUN23,12:30:00,12:30:00,GM_P1,1
SUN24,12:45:00,12:45:00,GM_P2,1
SUN25,13:00:00,13:00:00,GM_P1,1
SUN26,13:15:00,13:15:00,GM_P2,1
SUN27,13:30:00,13:30:00,GM_P1,1
SUN28,13:45:00,13:45:00,GM_P2,1
SUN29,14:00:00,14:00:00,GM_P1,1
SUN30,14:15:00,14:15:00,GM_P2,1
SUN31,14:30:00,14:30:00,GM_P1,1
SUN32,14:45:00,14:45:00,GM_P2,1
SUN33,15:00:00,15:00:00,GM_P1,1
SUN34,15:15:00,15:15:00,GM_P2,1
SUN35,15:30:00,15:30:00,GM_P1,1
SUN36,15:45:00,15:45:00,GM_P2,1
SUN37,16:00:00,16:00:00,GM_P1,1
SUN38,16:15:00,16:15:00,GM_P2,1
SUN39,16:30:00,16:30:00,GM_P1,1
SUN40,16:45:00,16:45:00,GM_P2,1
SUN41,17:00:00,17:00:00,GM_P1,1
SUN42,17:15:00,17:15:00,GM_P2,1
SUN43,17:30:00,17:30:00,GM_P1,1
SUN44,17:45:00,17:45:00,GM_P2,1
SUN45,18:00:00,18:00:00,GM_P1,1
SUN46,18:15:00,18:15:00,GM_P2,1
SUN47,18:30:00,18:30:00,GM_P1,1
SUN48,18:45:00,18:45:00,GM_P2,1
SUN49,19:00:00,19:00:00,GM_P1,1
SUN50,19:15:00,19:15:00,GM_P2,1
SUN51,19:30:00,19:30:00,GM_P1,1
SUN52,19:45:00,19:45:00,GM_P2,1
SUN53,20:00:00,20:00:00,GM_P1,1
SUN54,20:15:00,20:15:00,GM_P2,1
SUN55,20:30:00,20:30:00,GM_P1,1
SUN56,20:45:00,20:45:00,GM_P2,1
SUN57,21:00:00,21:00:00,GM_P1,1
SUN58,21:15:00,21:15:00,GM_P2,1
SUN59,21:30:00,21:30:00,GM_P1,1
SUN60,21:45:00,21:45:00,GM_P2,1
SUN61,22:00:00,22:00:00,GM_P1,1
SUN62,22:15:00,22:15:00,GM_P2,1
SUN63,22:30:00,22:30:00,GM_P1,1
SUN64,22:45:00,22:45:00,GM_P2,1
SUN65,23:00:00,23:00:00,GM_P1,1
SUN66,23:15:00,23:15:00,GM_P2,1
SUN67,23:30:00,23:30:00,GM_P1,1
