route_id,service_id,trip_id,trip_headsign,direction_id
R1,WD,WD84,Montreal,1
R1,WD,WD85,Deux-Montagnes,0
R1,WD,WD86,Montreal,1
R1,WD,WD87,Deux-Montagnes,0
R1,WD,WD88,Montreal,1
R1,WD,WD89,Deux-Montagnes,0
R1,WD,WD90,Montreal,1
R1,WD,WD91,Deux-Montagnes,0
R1,WD,WD92,Montreal,1
R1,WD,WD93,Deux-Montagnes,0
R1,WD,WD94,Montreal,1
R1,WD,WD95,Deux-Montagnes,0
R1,WD,WD96,Montreal,1
R1,WD,WD97,Deux-Montagnes,0
R1,WD,WD98,Montreal,1
R1,WD,WD99,Deux-Montagnes,0
R1,WD,WD100,Montreal,1
R1,WD,WD101,Deux-Montagnes,0
R1,WD,WD102,Montreal,1
R1,WD,WD103,Deux-Montagnes,0
R1,WD,WD104,Montreal,1
R1,WD,WD105,Deux-Montagnes,0
R1,WD,WD106,Montreal,1
R1,WD,WD107,Deux-Montagnes,0
R1,WD,WD108,Montreal,1
R1,WD,WD109,Deux-Montagnes,0
R1,WD,WD110,Montreal,1
R1,WD,WD111,Deux-Montagnes,0
R1,WD,WD112,Montreal,1
R1,WD,WD113,Deux-Montagnes,0
R1,WD,WD114,Montreal,1
R1,WD,WD115,Deux-Montagnes,0
R1,WD,WD116,Montreal,1
R1,WD,WD117,Deux-Montagnes,0
R1,WD,WD118,Montreal,1
R1,WD,WD119,Deux-Montagnes,0
R1,WD,WD120,Montreal,1
R1,WD,WD121,Deux-Montagnes,0
R1,WD,WD122,Montreal,1
R1,WD,WD123,Deux-Montagnes,0
R1,WD,WD124,Montreal,1
R1,WD,WD125,Deux-Montagnes,0
R1,WD,WD126,Montreal,1
R1,WD,WD127,Deux-Montagnes,0
R1,WD,WD128,Montreal,1
R1,WD,WD129,Deux-Montagnes,0
R1,WD,WD130,Montreal,1
R1,WD,WD131,Deux-Montagnes,0
R1,WD,WD132,Montreal,1
R1,WD,WD133,Deux-Montagnes,0
R1,WD,WD134,Montreal,1
R1,WD,WD135,Deux-Montagnes,0
R1,WD,WD136,Montreal,1
R1,WD,WD137,Deux-Montagnes,0
R1,WD,WD138,Montreal,1
R1,WD,WD139,Deux-Montagnes,0
R1,WD,WD140,Montreal,1
R1,WD,WD141,Deux-Montagnes,0
R1,WD,WD142,Montreal,1
R1,WD,WD143,Deux-Montagnes,0
R1,WD,WD144,Montreal,1
R1,WD,WD145,Deux-Montagnes,0
R1,WD,WD146,Montreal,1
R1,WD,WD147,Deux-Montagnes,0
R1,WD,WD148,Montreal,1
R1,WD,WD149,Deux-Montagnes,0
R1,WD,WD150,Montreal,1
R1,WD,WD151,Deux-Montagnes,0
R1,WD,WD152,Montreal,1
R1,WD,WD153,Deux-Montagnes,0
R1,WD,WD154,Montreal,1
R1,WD,WD155,Deux-Montagnes,0
R1,WD,WD156,Montreal,1
R1,WD,WD157,Deux-Montagnes,0
R1,WD,WD158,Montreal,1
R1,WD,WD159,Deux-Montagnes,0
R1,WD,WD160,Montreal,1
R1,WD,WD161,Deux-Montagnes,0
R1,WD,WD162,Montreal,1
R1,WD,WD163,Deux-Montagnes,0
R1,WD,WD164,Montreal,1
R1,WD,WD165,Deux-Montagnes,0
R1,WD,WD166,Montreal,1
R1,WD,WD167,Deux-Montagnes,0
R1,WD,WD168,Montreal,1
R1,WD,WD169,Deux-Montagnes,0
R1,WD,WD170,Montreal,1
R1,WD,WD171,Deux-Montagnes,0
R1,WD,WD172,Montreal,1
R1,WD,WD173,Deux-Montagnes,0
R1,WD,WD174,Montreal,1
R1,WD,WD175,Deux-Montagnes,0
R1,WD,WD176,Montreal,1
R1,WD,WD177,Deux-Montagnes,0
R1,WD,WD178,Montreal,1
R1,WD,WD179,Deux-Montagnes,0
R1,WD,WD180,Montreal,1
R1,WD,WD181,Deux-Montagnes,0
R1,WD,WD182,Montreal,1
R1,WD,WD183,Deux-Montagnes,0
R1,WD,WD184,Montreal,1
R1,WD,WD185,Deux-Montagnes,0
R1,WD,WD186,Montreal,1
R1,WD,WD187,Deux-Montagnes,0
R1,WD,WD188,Montreal,1
R1,WD,WD189,Deux-Montagnes,0
R1,WD,WD190,Montreal,1
R1,WD,WD191,Deux-Montagnes,0
R1,WD,WD192,Montreal,1
R1,WD,WD193,Deux-Montagnes,0
R1,WD,WD194,Montreal,1
R1,WD,WD195,Deux-Montagnes,0
R1,WD,WD196,Montreal,1
R1,WD,WD197,Deux-Montagnes,0
R1,WD,WD198,Montreal,1
R1,WD,WD199,Deux-Montagnes,0
R1,WD,WD200,Montreal,1
R1,WD,WD201,Deux-Montagnes,0
R1,WD,WD202,Montreal,1
R1,WD,WD203,Deux-Montagnes,0
R1,WD,WD204,Montreal,1
R1,WD,WD205,Deux-Montagnes,0
R1,WD,WD206,Montreal,1
R1,SAT,SAT1,Deux-Montagnes,0
R1,SAT,SAT2,Montreal,1
R1,SAT,SAT3,Deux-Montagnes,0
R1,SAT,SAT4,Montreal,1
R1,SAT,SAT5,Deux-Montagnes,0
R1,SAT,SAT6,Montreal,1
R1,SAT,SAT7,Deux-Montagnes,0
R1,SAT,SAT8,Montreal,1
R1,SAT,SAT9,Deux-Montagnes,0
R1,SAT,SAT10,Montreal,1
R1,SAT,SAT11,Deux-Montagnes,0
R1,SAT,SAT12,Montreal,1
R1,SAT,SAT13,Deux-Montagnes,0
R1,SAT,SAT14,Montreal,1
R1,SAT,SAT15,Deux-Montagnes,0
R1,SAT,SAT16,Montreal,1
R1,SAT,SAT17,Deux-Montagnes,0
R1,SAT,SAT18,Montreal,1
R1,SAT,SAT19,Deux-Montagnes,0
R1,SAT,SAT20,Montreal,1
R1,SAT,SAT21,Deux-Montagnes,0
R1,SAT,SAT22,Montreal,1
R1,SAT,SAT23,Deux-Montagnes,0
R1,SAT,SAT24,Montreal,1
R1,SAT,SAT25,Deux-Montagnes,0
R1,SAT,SAT26,Montreal,1
R1,SAT,SAT27,Deux-Montagnes,0
R1,SAT,SAT28,Montreal,1
R1,SAT,SAT29,Deux-Montagnes,0
R1,SAT,SAT30,Montreal,1
R1,SAT,SAT31,Deux-Montagnes,0
R1,SAT,SAT32,Montreal,1
R1,SAT,SAT33,Deux-Montagnes,0
R1,SAT,SAT34,Montreal,1
R1,SAT,SAT35,Deux-Montagnes,0
R1,SAT,SAT36,Montreal,1
R1,SAT,SAT37,Deux-Montagnes,0
R1,SAT,SAT38,Montreal,1
R1,SAT,SAT39,Deux-Montagnes,0
R1,SAT,SAT40,Montreal,1
R1,SAT,SAT41,Deux-Montagnes,0
R1,SAT,SAT42,Montreal,1
R1,SAT,SAT43,Deux-Montagnes,0
R1,SAT,SAT44,Montreal,1
R1,SAT,SAT45,Deux-Montagnes,0
R1,SAT,SAT46,Montreal,1
R1,SAT,SAT47,Deux-Montagnes,0
R1,SAT,SAT48,Montreal,1
R1,SAT,SAT49,Deux-Montagnes,0
R1,SAT,SAT50,Montreal,1
R1,SAT,SAT51,Deux-Montagnes,0
R1,SAT,SAT52,Montreal,1
R1,SAT,SAT53,Deux-Montagnes,0
R1,SAT,SAT54,Montreal,1
R1,SAT,SAT55,Deux-Montagnes,0
R1,SAT,SAT56,Montreal,1
R1,SAT,SAT57,Deux-Montagnes,0
R1,SAT,SAT58,Montreal,1
R1,SAT,SAT59,Deux-Montagnes,0
R1,SAT,SAT60,Montreal,1
R1,SAT,SAT61,Deux-Montagnes,0
R1,SAT,SAT62,Montreal,1
R1,SAT,SAT63,Deux-Montagnes,0
R1,SAT,SAT64,Montreal,1
R1,SAT,SAT65,Deux-Montagnes,0
R1,SAT,SAT66,Montreal,1
R1,SAT,SAT67,Deux-Montagnes,0
R1,SAT,SAT68,Montreal,1
R1,SAT,SAT69,Deux-Montagnes,0
R1,SAT,SAT70,Montreal,1
R1,SAT,SAT71,Deux-Montagnes,0
R1,SAT,SAT72,Montreal,1
R1,SAT,SAT73,Deux-Montagnes,0
R1,SAT,SAT74,Montreal,1
R1,SAT,SAT75,Deux-Montagnes,0
R1,SAT,SAT76,Montreal,1
R1,SAT,SAT77,Deux-Montagnes,0
R1,SAT,SAT78,Montreal,1
R1,SAT,SAT79,Deux-Montagnes,0
R1,SAT,SAT80,Montreal,1
R1,SAT,SAT81,Deux-Montagnes,0
R1,SAT,SAT82,Montreal,1
R1,SAT,SAT83,Deux-Montagnes,0
R1,SAT,SAT84,Montreal,1
R1,SAT,SAT85,Deux-Montagnes,0
R1,SAT,SAT86,Montreal,1
R1,SAT,SAT87,Deux-Montagnes,0
R1,SAT,SAT88,Montreal,1
R1,SAT,SAT89,Deux-Montagnes,0
R1,SAT,SAT90,Montreal,1
R1,SAT,SAT91,Deux-Montagnes,0
R1,SAT,SAT92,Montreal,1
R1,SAT,SAT93,Deux-Montagnes,0
R1,SUN,SUN1,Deux-Montagnes,0
R1,SUN,SUN2,Montreal,1
R1,SUN,SUN3,Deux-Montagnes,0
R1,SUN,SUN4,Montreal,1
R1,SUN,SUN5,Deux-Montagnes,0
R1,SUN,SUN6,Montreal,1
R1,SUN,SUN7,Deux-Montagnes,0
R1,SUN,SUN8,Montreal,1
R1,SUN,SUN9,Deux-Montagnes,0
R1,SUN,SUN10,Montreal,1
R1,SUN,SUN11,Deux-Montagnes,0
R1,SUN,SUN12,Montreal,1
R1,SUN,SUN13,Deux-Montagnes,0
R1,SUN,SUN14,Montreal,1
R1,SUN,SUN15,Deux-Montagnes,0
R1,SUN,SUN16,Montreal,1
R1,SUN,SUN17,Deux-Montagnes,0
R1,SUN,SUN18,Montreal,1
R1,SUN,SUN19,Deux-Montagnes,0
R1,SUN,SUN20,Montreal,1
R1,SUN,SUN21,Deux-Montagnes,0
R1,SUN,SUN22,Montreal,1
R1,SUN,SUN23,Deux-Montagnes,0
R1,SUN,SUN24,Montreal,1
R1,SUN,SUN25,Deux-Montagnes,0
R1,SUN,SUN26,Montreal,1
R1,SUN,SUN27,Deux-Montagnes,0
R1,SUN,SUN28,Montreal,1
R1,SUN,SUN29,Deux-Montagnes,0
R1,SUN,SUN30,Montreal,1
R1,SUN,SUN31,Deux-Montagnes,0
R1,SUN,SUN32,Montreal,1
R1,SUN,SUN33,Deux-Montagnes,0
R1,SUN,SUN34,Montreal,1
R1,SUN,SUN35,Deux-Montagnes,0
R1,SUN,SUN36,Montreal,1
R1,SUN,SUN37,Deux-Montagnes,0
R1,SUN,SUN38,Montreal,1
R1,SUN,SUN39,Deux-Montagnes,0
R1,SUN,SUN40,Montreal,1
R1,SUN,SUN41,Deux-Montagnes,0
R1,SUN,SUN42,Montreal,1
R1,SUN,SUN43,Deux-Montagnes,0
R1,SUN,SUN44,Montreal,1
R1,SUN,SUN45,Deux-Montagnes,0
R1,SUN,SUN46,Montreal,1
R1,SUN,SUN47,Deux-Montagnes,0
R1,SUN,SUN48,Montreal,1
R1,SUN,SUN49,Deux-Montagnes,0
R1,SUN,SUN50,Montreal,1
R1,SUN,SUN51,Deux-Montagnes,0
R1,SUN,SUN52,Montreal,1
R1,SUN,SUN53,Deux-Montagnes,0
R1,SUN,SUN54,Montreal,1
R1,SUN,SUN55,Deux-Montagnes,0
R1,SUN,SUN56,Montreal,1
R1,SUN,SUN57,Deux-Montagnes,0
R1,SUN,SUN58,Montreal,1
R1,SUN,SUN59,Deux-Montagnes,0
R1,SUN,SUN60,Montreal,1
R1,SUN,SUN61,Deux-Montagnes,0
R1,SUN,SUN62,Montreal,1
R1,SUN,SUN63,Deux-Montagnes,0
R1,SUN,SUN64,Montreal,1
R1,SUN,SUN65,Deux-Montagnes,0
R1,SUN,SUN66,Montreal,1
R1,SUN,SUN67,Deux-Montagnes,0
